Ciudad,Fecha,Temperatura
Bogotá,01/01/2024,14.5
Bogotá,02/01/2024,15.0
Bogotá,03/01/2024,13.8
Bogotá,04/01/2024,14.2
Bogotá,05/01/2024,13.7
Bogotá,06/01/2024,13.5
Bogotá,07/01/2024,14.0
Bogotá,08/01/2024,14.8
Bogotá,09/01/2024,15.1
Bogotá,10/01/2024,14.9
Bogotá,11/01/2024,15.3
Bogotá,12/01/2024,14.6
Bogotá,13/01/2024,13.9
Bogotá,14/01/2024,14.1
Bogotá,15/01/2024,15.5
Medellín,01/01/2024,22.3
Medellín,02/01/2024,22.1
Medellín,03/01/2024,21.9
Medellín,04/01/2024,22.5
Medellín,05/01/2024,21.7
Medellín,06/01/2024,21.4
Medellín,07/01/2024,22.0
Medellín,08/01/2024,22.2
Medellín,09/01/2024,22.6
Medellín,10/01/2024,21.8
Medellín,11/01/2024,22.9
Medellín,12/01/2024,22.4
Medellín,13/01/2024,21.6
Medellín,14/01/2024,22.7
Medellín,15/01/2024,23.1
Cali,01/01/2024,25.4
Cali,02/01/2024,26.0
Cali,03/01/2024,25.8
Cali,04/01/2024,26.3
Cali,05/01/2024,25.1
Cali,06/01/2024,24.9
Cali,07/01/2024,25.6
Cali,08/01/2024,26.1
Cali,09/01/2024,25.9
Cali,10/01/2024,26.4
Cali,11/01/2024,25.7
Cali,12/01/2024,26.2
Cali,13/01/2024,25.3
Cali,14/01/2024,26.5
Cali,15/01/2024,25.0
Barranquilla,01/01/2024,31.2
Barranquilla,02/01/2024,30.8
Barranquilla,03/01/2024,31.5
Barranquilla,04/01/2024,32.0
Barranquilla,05/01/2024,31.7
Barranquilla,06/01/2024,30.5
Barranquilla,07/01/2024,31.9
Barranquilla,08/01/2024,32.3
Barranquilla,09/01/2024,31.1
Barranquilla,10/01/2024,30.9
Barranquilla,11/01/2024,32.1
Barranquilla,12/01/2024,31.4
Barranquilla,13/01/2024,30.7
Barranquilla,14/01/2024,31.8
Barranquilla,15/01/2024,32.5
Manizales,01/01/2024,18.1
Manizales,02/01/2024,17.8
Manizales,03/01/2024,18.5
Manizales,04/01/2024,17.5
Manizales,05/01/2024,18.3
Manizales,06/01/2024,17.9
Manizales,07/01/2024,18.7
Manizales,08/01/2024,17.6
Manizales,09/01/2024,18.9
Manizales,10/01/2024,17.4
Manizales,11/01/2024,19.0
Manizales,12/01/2024,18.2
Manizales,13/01/2024,17.7
Manizales,14/01/2024,18.6
Manizales,15/01/2024,17.3
